# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 4B, ewe #9009
# (thyroidectomized). GnRH in pg/min, sampled every 5 min for 6 h.
#
# SOURCE: the University of Michigan library's scan of the bound PRINT
# volume (Endocrinology v.129 1991 Sep), supplied by Document Delivery and
# obtained outside the publisher's electronic subscription. Read by
# tools/digitize_webster_print.py. This replaced a reading of the
# publisher's PDF on 2026-08-19; see docs/figure-data-permissions.md for
# why the source of the copy is the whole point.
#
# Values are approximate: they carry the figure's printed line width and
# the scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 0 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.07, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
#
# ⚠ THIS RECORD IS AT THE FIGURE'S RESOLUTION LIMIT. Its entire data range
# is comparable to the printed line's own thickness, so the trace carries no
# information about where within that line the value falls. Every sample is
# therefore the midpoint of the ink run, not a reading of one of its edges.
# Treat the LEVEL as measured and the sample-to-sample VARIATION as absent:
# it is a flat trace, and any pulse analysis run on it is analyzing line
# width. Until 2026-08-15 this file instead alternated between the two edges
# of the line, which produced a regular sawtooth that looked like data.
time,value,error
0,0.034,0.0700
5,0.034,0.0700
10,0.034,0.0700
15,0.036,0.0700
20,0.034,0.0700
25,0.036,0.0700
30,0.039,0.0700
35,0.036,0.0700
40,0.034,0.0700
45,0.041,0.0700
50,0.039,0.0700
55,0.041,0.0700
60,0.039,0.0700
65,0.043,0.0700
70,0.041,0.0700
75,0.041,0.0700
80,0.043,0.0700
85,0.043,0.0700
90,0.043,0.0700
95,0.046,0.0700
100,0.048,0.0700
105,0.046,0.0700
110,0.043,0.0700
115,0.050,0.0700
120,0.043,0.0700
125,0.046,0.0700
130,0.048,0.0700
135,0.050,0.0700
140,0.052,0.0700
145,0.050,0.0700
150,0.052,0.0700
155,0.055,0.0700
160,0.052,0.0700
165,0.059,0.0700
170,0.057,0.0700
175,0.052,0.0700
180,0.046,0.0700
185,0.059,0.0700
190,0.057,0.0700
195,0.057,0.0700
200,0.059,0.0700
205,0.059,0.0700
210,0.062,0.0700
215,0.064,0.0700
220,0.062,0.0700
225,0.064,0.0700
230,0.064,0.0700
235,0.064,0.0700
240,0.050,0.0700
245,0.064,0.0700
250,0.064,0.0700
255,0.068,0.0700
260,0.064,0.0700
265,0.068,0.0700
270,0.068,0.0700
275,0.068,0.0700
280,0.071,0.0700
285,0.068,0.0700
290,0.066,0.0700
295,0.071,0.0700
300,0.055,0.0700
305,0.071,0.0700
310,0.071,0.0700
315,0.068,0.0700
320,0.073,0.0700
325,0.071,0.0700
330,0.075,0.0700
335,0.071,0.0700
340,0.073,0.0700
345,0.073,0.0700
350,0.075,0.0700
355,0.071,0.0700
360,0.071,0.0700
